"statistikkvariabel"	"konsumgruppe"	"1979"	"1980"	"1981"	"1982"	"1983"	"1984"	"1985"	"1986"	"1987"	"1988"	"1989"	"1990"	"1991"	"1992"	"1993"	"1994"	"1995"	"1996"	"1997"	"1998"	"1999"	"2000"	"2001"	"2002"	"2003"	"2004"	"2005"	"2006"	"2007"	"2008"	"2009"	"2010"	"2011"	"2012"	"2013"	"2014"	"2015"	"2016"	"2017"	"2018"	"2019"	"2020"	"2021"	"2022"
"Årsendring (prosent)"	"05.1.2 Tepper og annet gulvbelegg"	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
"Årsendring (prosent)"	"05.2.0 Boligtekstiler"	..	12.8	13.0	9.9	5.8	2.1	2.7	4.4	7.0	1.1	0.2	-1.7	0.4	-1.0	2.9	2.4	2.9	-0.4	-0.2	-0.8	0.5	-1.1	-0.9	-1.4	-2.8	-5.8	-5.1	-4.0	1.1	4.1	4.2	-0.1	4.4	2.4	0.5	1.6	4.4	5.7	0.3	4.0	2.0	11.0	4.3	3.6
"Årsendring (prosent)"	"05.3.1 Større elektriske og ikke-elektriske husholdningsapparater"	..	9.6	10.8	7.5	7.6	3.9	0.9	7.5	7.5	1.7	1.5	0.9	1.7	0.8	2.2	-0.5	0.5	-0.1	0.4	-0.3	1.8	0.1	-0.9	-1.8	-2.6	-1.1	0.1	-0.8	-2.4	-1.5	4.3	-0.6	-2.7	-1.3	-2.5	1.0	1.8	4.7	-0.6	1.4	2.5	8.8	1.7	2.3
"Årsendring (prosent)"	"05.3.2 Små elektriske husholdningsapparater"	..	5.5	6.6	4.5	4.1	2.8	2.3	8.0	9.2	-1.9	-1.9	-3.3	6.2	2.8	6.1	-2.0	-4.1	-3.1	2.4	5.2	0.2	-0.1	-3.8	-3.2	-1.7	0.9	0.9	0.5	-0.2	3.0	8.4	0.8	-0.9	-5.7	-0.3	-0.7	3.8	2.8	2.1	2.0	3.6	6.2	2.0	-0.3
"Årsendring (prosent)"	"05.3.3 Reparasjon av husholdningsapparater"	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
"Årsendring (prosent)"	"05.4.0 Kjøkkenutstyr, glass, dekketøy mv."	..	31.0	5.6	6.5	9.9	6.1	5.0	6.9	7.8	6.2	3.9	3.2	2.5	2.3	2.9	2.2	1.2	1.8	1.0	4.4	3.0	4.7	4.8	4.2	0.5	-1.0	3.6	3.1	2.2	4.4	2.7	1.1	-0.7	0.6	1.9	3.4	4.0	4.2	-3.6	2.0	4.6	6.3	7.5	5.4
"Årsendring (prosent)"	"05.5.1 Større verktøy og utstyr"	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
"Årsendring (prosent)"	"05.5.2 Mindre verktøy og diverse tilbehør"	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
"Årsendring (prosent)"	"05.6.1 Ikke-varige husholdningsartikler"	..	8.7	14.4	11.9	8.9	5.4	5.8	7.5	8.4	8.1	6.0	3.8	1.7	-2.6	0.0	-1.0	1.5	2.2	-0.3	0.9	1.9	1.1	2.3	0.9	0.0	0.0	0.7	-2.1	2.0	7.1	1.8	0.0	2.0	0.0	-0.5	-6.3	-0.4	8.9	0.6	-0.8	5.1	5.6	2.2	5.4
"Årsendring (prosent)"	"05.6.2 Lønnet husarbeid  og andre tjenester i hjemmet"	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
"Årsendring (prosent)"	"06.1.1 Legemidler"	..	7.1	13.2	16.4	6.5	6.6	6.0	7.8	7.0	5.9	5.2	5.7	4.3	3.4	3.2	2.4	12.0	3.5	-0.3	4.6	2.5	1.5	1.1	2.0	-0.4	-2.2	1.4	1.1	2.8	1.8	3.1	4.3	1.4	2.2	1.1	1.9	1.2	3.3	1.3	1.1	2.3	3.1	1.4	2.9
"Årsendring (prosent)"	"06.1.2 Andre medisinske produkter"	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
"Årsendring (prosent)"	"06.1.3 Briller mv."	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
"Årsendring (prosent)"	"06.2.1 Medisinske tjenester"	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
"Årsendring (prosent)"	"06.2.2 Tannhelsetjenester"	..	9.5	8.0	8.0	7.4	4.8	5.6	6.7	5.0	4.3	4.1	11.1	10.7	4.5	3.7	3.0	2.3	6.8	6.6	4.7	7.1	6.2	6.9	6.8	5.3	5.0	4.1	5.1	4.1	4.5	5.7	4.2	4.8	4.8	5.4	4.0	4.5	2.1	1.1	1.6	4.3	6.4	5.3	4.4
"Årsendring (prosent)"	"06.2.3 Paramedisinske tjenester"	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
"Årsendring (prosent)"	"07.1.1 Biler"	..	4.6	3.8	8.1	11.4	9.7	7.1	14.7	15.0	8.5	3.4	1.1	1.8	2.2	7.2	4.1	3.8	-4.6	2.3	1.2	-0.4	0.7	3.3	1.7	-0.5	1.0	1.6	1.2	0.4	1.3	1.9	0.6	1.0	0.1	0.0	1.7	1.8	2.1	2.4	3.2	1.4	1.9	1.6	4.4
"Årsendring (prosent)"	"07.1.2 Motorsykler"	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
"Årsendring (prosent)"	"07.1.3 Sykler"	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
"Årsendring (prosent)"	"07.2.1 Reservedeler og tilbehør til transportmidler"	..	12.5	9.9	4.2	-0.5	-2.8	0.5	5.2	9.2	6.4	4.3	2.3	2.0	3.5	3.8	0.4	2.2	2.9	2.4	5.8	4.3	1.2	3.0	1.5	0.7	3.9	8.5	3.6	2.0	3.5	4.6	1.3	1.1	2.5	0.7	2.3	3.3	4.1	1.5	-0.2	1.5	5.7	3.8	5.4
"Årsendring (prosent)"	"07.2.2 Drivstoff og smøremidler"	..	30.7	17.4	5.9	7.0	5.2	0.3	-6.5	7.0	4.3	7.1	10.0	14.6	5.9	5.0	0.4	5.5	1.7	7.2	0.0	6.8	14.1	-8.1	-3.8	2.7	6.0	8.8	8.1	2.5	8.4	-4.7	8.2	9.5	4.8	-0.2	0.1	-5.4	-3.3	6.8	7.9	0.5	-6.0	11.9	33.2
"Årsendring (prosent)"	"07.2.3 Vedlikehold og reparasjon på verksted"	..	4.6	12.7	9.0	7.2	3.8	6.0	7.4	13.0	11.2	5.5	4.3	3.5	1.4	3.4	2.4	4.8	4.0	5.1	6.0	5.7	6.2	6.6	4.9	4.0	3.2	4.9	3.7	7.1	7.2	5.4	2.9	3.6	3.9	3.4	4.0	3.1	3.2	1.9	2.1	2.7	3.1	3.1	4.9
"Årsendring (prosent)"	"07.2.4 Andre tjenester knyttet til transportmidler"	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
